ATICA,EST,TIENDA,Margen Gestión,Ventas,Compras
6008,5598,Carrer Rutlla 29,14989.87,1444.87,60321.59
6010,5600,C/ Aragon 52,41922.91,7169.64,162891.07
6014,5603,"Avda Maria Ros, 11",17023.04,857.94,76562.06
6016,5605,"C/ Andres Mellado, 61",30956.08,174.59,124150.05
6024,5610,"C/ Recaredo, 21",22487.72,1367.56,89349.93
6033,5618,"C/ Jaume Balmes, 35",20123.80,2547.83,85694.41
6034,5619,"C/ Santa Anna, 6",20950.20,7028.71,80525.00
6036,5621,"C/ Nieto Alcalá Zamora, 36",32467.52,0.00,134434.86
6041,5626,"C/ Maria Cristina, 9",19488.91,872.64,85670.43
6042,5627,"C/ Antoni Torrella, 8",21696.55,5117.60,98421.36
6051,5634,"C/ Rubio i Ors, 21-23",25747.34,570.26,118429.75
6065,5642,"Av. Del Maresme, 219",26418.72,23.82,80651.20
6076,5649,"Carrer Rocafort, 31",0.00,0.00,0.00
6080,5653,"Carretera Rellinars, 204",16815.15,2849.96,60560.01
6082,5655,"Av.Bilbao, 64",20392.33,802.23,86659.16
6085,5658,"Avda. Ricardo Carapeto, 38",16798.72,0.00,79425.25
6088,5661,"C/ Gustavo Adolfo Becquer, 1-2",9800.44,2203.15,40392.87
6092,5665,"C/ Jesus Lara, 18",27364.98,490.01,109890.99
6097,5670,"C/ El Olivo, 4",12590.79,2014.03,60201.10
6128,5675,"C/ Cronista Muntaner, 21",23531.06,5566.28,101257.28
6156,5680,"Camino de la Ronda, 80",21894.81,1955.55,94569.83
6171,5683,"Paseo Velilla, 17",13555.63,0.00,53687.37
6186,5698,"Rua Redondela, 21",14171.29,542.61,60876.38
6193,5709,"Avda. Andalucia, 19",10346.35,216.00,49372.82
6200,5716,"c/ Wagner, 72",18857.19,9734.44,84524.85
6201,5717,"c/ Manuel Guillon, 23",23078.03,5398.25,95637.88
6202,5718,"C/ RIN, 7",19198.06,3095.16,78438.13
6214,5724,"C/ Major, 1",29902.70,7422.43,118395.44
6215,5725,Calle San Marcial 21,17873.44,1587.11,72858.39
